country,year,aid_received_per_person,average_daily_income_per_capita,gdp_total,income_per_person_gdppercapita,market_value_of_listed_companies
Argentina,1980,1.3,22.4,5.53,15900.0,1.77
Argentina,1981,1.02,22.5,3.03,15200.0,1.15
Argentina,1982,1.18,23.8,4.26,15600.0,1.33
Argentina,1983,1.1,24.5,2.23,15800.0,1.48
Argentina,1984,1.29,23.5,6.95,14600.0,2.3
Argentina,1985,2.4,25.2,7.47,15500.0,1.43
Argentina,1986,2.67,23.0,2.76,15800.0,1.28
Argentina,1987,4.5,20.8,1.8,15300.0,2.02
Argentina,1988,6.27,18.2,7.02,14300.0,4.17
Argentina,1989,5.26,16.3,1.85,14100.0,2.56
Argentina,1990,8.4,16.3,10.8,15200.0,9.82
Argentina,1991,7.96,16.5,10.0,16200.0,8.14
Argentina,1992,7.24,16.5,6.04,17300.0,18.6
Argentina,1993,4.68,16.3,6.12,18100.0,14.3
Argentina,1994,4.25,15.5,2.7,17400.0,14.6
Argentina,1995,3.47,15.2,5.76,18100.0,16.4
Argentina,1996,2.78,15.9,8.34,19300.0,20.2
Argentina,1997,2.05,15.4,3.99,19900.0,15.2
Argentina,1998,2.26,14.7,3.38,19000.0,19.7
Argentina,1999,2.02,14.4,0.807,18600.0,16.1
Argentina,2000,4.23,13.3,4.52,17600.0,12.4
Argentina,2001,2.63,9.32,11.1,15500.0,17.0
Argentina,2002,3.09,13.2,8.76,16700.0,27.4
Argentina,2003,2.53,14.2,8.88,18000.0,24.7
Argentina,2004,2.41,15.6,9.08,19400.0,23.9
Argentina,2005,2.91,17.3,8.21,20800.0,22.0
Argentina,2006,2.27,17.9,8.39,22400.0,19.8
Argentina,2007,3.12,18.3,6.5,23100.0,11.0
Argentina,2008,2.87,18.9,0.598,21500.0,13.7
Argentina,2009,3.19,19.5,8.88,23500.0,15.1
Argentina,2010,2.35,20.7,8.59,24600.0,8.22
Mexico,1980,1.6,9.92,8.5,15000.0,0.38299999999999995
Mexico,1981,2.11,9.45,0.79,14800.0,0.932
Mexico,1982,2.06,8.74,3.82,14000.0,1.94
Mexico,1983,1.26,8.82,3.26,14300.0,1.99
Mexico,1984,1.99,9.02,2.1,14500.0,2.0
Mexico,1985,3.47,8.71,3.19,13900.0,4.1
Mexico,1986,2.23,8.62,1.79,13900.0,6.13
Mexico,1987,2.21,8.7,1.38,14000.0,8.37
Mexico,1988,1.39,9.22,4.26,14400.0,12.2
Mexico,1989,2.12,9.98,5.32,15000.0,15.7
Mexico,1990,3.39,10.6,4.29,15300.0,32.8
Mexico,1991,3.9,11.0,3.58,15600.0,38.2
Mexico,1992,5.04,10.8,1.92,15600.0,40.1
Mexico,1993,4.99,11.2,4.47,16100.0,24.7
Mexico,1994,4.48,8.9,6.4,14900.0,25.2
Mexico,1995,3.28,7.6,5.36,15600.0,26.0
Mexico,1996,1.2,8.29,7.09,16400.0,31.3
Mexico,1997,0.313,8.89,5.19,17000.0,17.4
Mexico,1998,0.471,9.56,4.07,17200.0,25.7
Mexico,1999,0.409,10.7,6.71,17800.0,17.7
Mexico,2000,0.986,10.8,0.147,17500.0,16.7
Mexico,2001,1.33,10.7,1.09,17300.0,13.5
Mexico,2002,1.12,10.9,1.57,17300.0,16.8
Mexico,2003,1.3,11.5,4.42,17700.0,21.9
Mexico,2004,1.89,11.7,3.05,17800.0,27.3
Mexico,2005,2.29,12.3,5.05,18400.0,35.7
Mexico,2006,1.03,12.5,2.88,18500.0,37.8
Mexico,2007,1.34,12.5,0.833,18500.0,21.1
Mexico,2008,1.66,11.5,6.33,17200.0,39.1
Mexico,2009,3.99,11.6,5.03,17800.0,43.0
Mexico,2010,8.36,12.3,3.86,18200.0,34.6
Malaysia,1980,10.1,11.9,7.18,7480.0,61.2
Malaysia,1981,9.31,12.1,6.06,7760.0,51.8
Malaysia,1982,11.8,12.1,6.32,8060.0,74.8
Malaysia,1983,21.4,12.6,8.04,8500.0,57.0
Malaysia,1984,14.5,12.5,0.787,8230.0,77.4
Malaysia,1985,11.9,12.1,1.61,8150.0,53.6
Malaysia,1986,21.9,12.1,5.83,8400.0,56.7
Malaysia,1987,5.99,12.0,9.41,8950.0,65.4
Malaysia,1988,7.84,11.9,10.0,9590.0,102.0
Malaysia,1989,25.9,12.5,10.2,10300.0,109.0
Malaysia,1990,15.5,13.0,10.0,11000.0,115.0
Malaysia,1991,10.7,13.2,9.25,11700.0,150.0
Malaysia,1992,4.82,13.3,10.2,12500.0,321.0
Malaysia,1993,3.29,13.5,9.48,13300.0,247.0
Malaysia,1994,5.21,13.7,10.2,14300.0,241.0
Malaysia,1995,21.7,16.1,10.4,15300.0,304.0
Malaysia,1996,11.1,17.1,7.7,16000.0,93.2
Malaysia,1997,9.12,14.7,7.04,14400.0,132.0
Malaysia,1998,6.44,14.4,6.48,15000.0,177.0
Malaysia,1999,2.1,15.6,8.91,15900.0,121.0
Malaysia,2000,1.24,15.4,0.667,15700.0,128.0
Malaysia,2001,3.69,15.3,4.47,16200.0,125.0
Malaysia,2002,4.47,15.8,6.13,16800.0,146.0
Malaysia,2003,11.9,16.3,7.15,17500.0,146.0
Malaysia,2004,1.14,16.9,5.17,18100.0,126.0
Malaysia,2005,9.21,17.2,6.13,18800.0,145.0
Malaysia,2006,7.57,17.7,6.75,19500.0,168.0
Malaysia,2007,5.74,18.3,5.21,20100.0,82.0
Malaysia,2008,5.04,18.4,1.84,19400.0,143.0
Malaysia,2009,0.218,19.7,6.96,20500.0,160.0
Malaysia,2010,1.42,22.1,5.39,21300.0,133.0
